championName,itemId,itemName,total
Aphelios,2055,"Control Ward",49
Aphelios,3340,"Stealth Ward",39
Aphelios,1042,Dagger,30
Aphelios,6676,"The Collector",26
Aphelios,2031,"Refillable Potion",25
Aphelios,1036,"Long Sword",24
Aphelios,3086,Zeal,22
Aphelios,3026,"Guardian Angel",17
Aphelios,3072,Bloodthirster,17
Aphelios,3123,"Executioner's Calling",17
Aphelios,6670,Noonquiver,14
Aphelios,3035,"Last Whisper",14
Aphelios,2420,Stopwatch,13
Aphelios,2421,"Broken Stopwatch",12
Aphelios,1053,"Vampiric Scepter",11
Aphelios,1083,Cull,10
Aphelios,3033,"Mortal Reminder",7
Aphelios,3134,"Serrated Dirk",7
Aphelios,1001,Boots,6
Aphelios,3156,"Maw of Malmortius",5
Aphelios,3155,Hexdrinker,5
Aphelios,3094,"Rapid Firecannon",5
Aphelios,3047,"Plated Steelcaps",4
Aphelios,1033,"Null-Magic Mantle",3
Aphelios,1054,"Doran's Shield",3
Aphelios,1029,"Cloth Armor",2
Aphelios,1057,"Negatron Cloak",2
Aphelios,2003,"Health Potion",2
Aphelios,3364,"Oracle Lens",2
Aphelios,3140,"Quicksilver Sash",2
Aphelios,2010,"Total Biscuit of Everlasting Will",1
Aphelios,6333,"Death's Dance",1
Aphelios,3143,"Randuin's Omen",1
Aphelios,3095,Stormrazor,1
Aphelios,3057,Sheen,1
Aphelios,3051,"Hearthbound Axe",1
Aphelios,2015,"Kircheis Shard",1
Aphelios,6677,Rageknife,1
Aphelios,8001,"Anathema's Chains",1
Ashe,3006,"Berserker's Greaves",78
Ashe,3363,"Farsight Alteration",72
Ashe,1055,"Doran's Blade",56
Ashe,3046,"Phantom Dancer",50
Ashe,6672,"Kraken Slayer",45
Ashe,6673,"Immortal Shieldbow",20
Ashe,3031,"Infinity Edge",18
Ashe,3340,"Stealth Ward",17
Ashe,3085,"Runaan's Hurricane",14
Ashe,1018,"Cloak of Agility",14
Ashe,1036,"Long Sword",13
Ashe,1037,Pickaxe,13
Ashe,6671,Galeforce,11
Ashe,2031,"Refillable Potion",9
Ashe,2055,"Control Ward",9
Ashe,1038,"B. F. Sword",9
Ashe,1042,Dagger,7
Ashe,3158,"Ionian Boots of Lucidity",7
Ashe,3123,"Executioner's Calling",7
Ashe,2421,"Broken Stopwatch",6
Ashe,3036,"Lord Dominik's Regards",6
Ashe,6670,Noonquiver,6
Ashe,3086,Zeal,5
Ashe,2420,Stopwatch,5
Ashe,3042,Muramana,5
Ashe,4005,"Imperial Mandate",5
Ashe,3035,"Last Whisper",4
Ashe,3133,"Caulfield's Warhammer",3
Ashe,1001,Boots,2
Ashe,3070,"Tear of the Goddess",2
Ashe,1053,"Vampiric Scepter",2
Ashe,3033,"Mortal Reminder",2
Ashe,3091,"Wit's End",2
Ashe,3153,"Blade of The Ruined King",2
Ashe,1043,"Recurve Bow",1
Ashe,1054,"Doran's Shield",1
Ashe,1083,Cull,1
Ashe,3155,Hexdrinker,1
Ashe,2010,"Total Biscuit of Everlasting Will",1
Ashe,2422,"Slightly Magical Footwear",1
Ashe,3067,Kindlegem,1
Ashe,3364,"Oracle Lens",1
Ashe,3864,"Black Mist Scythe",1
Ashe,3071,"Black Cleaver",1
Ashe,3072,Bloodthirster,1
Ashe,1058,"Needlessly Large Rod",1
Ashe,1033,"Null-Magic Mantle",1
Ashe,3115,"Nashor's Tooth",1
Ashe,6691,"Duskblade of Draktharr",1
Ashe,6695,"Serpent's Fang",1
Ashe,7007,"Wyrmfallen Sacrifice",1
AurelionSol,3020,"Sorcerer's Shoes",11
AurelionSol,1082,"Dark Seal",9
AurelionSol,3340,"Stealth Ward",9
AurelionSol,3116,"Rylai's Crystal Scepter",7
AurelionSol,2033,"Corrupting Potion",6
AurelionSol,3157,"Zhonya's Hourglass",5
AurelionSol,3135,"Void Staff",4
AurelionSol,6656,Everfrost,4
AurelionSol,3041,"Mejai's Soulstealer",3
AurelionSol,3165,Morellonomicon,3
AurelionSol,3363,"Farsight Alteration",3
AurelionSol,1001,Boots,2
AurelionSol,1026,"Blasting Wand",2
AurelionSol,3364,"Oracle Lens",2
AurelionSol,1052,"Amplifying Tome",2
AurelionSol,1056,"Doran's Ring",2
AurelionSol,3108,"Fiendish Codex",2
AurelionSol,1058,"Needlessly Large Rod",2
AurelionSol,2421,"Broken Stopwatch",2
AurelionSol,3040,"Seraph's Embrace",2
AurelionSol,4636,"Night Harvester",2
AurelionSol,1011,"Giant's Belt",1
AurelionSol,1029,"Cloth Armor",1
AurelionSol,1057,"Negatron Cloak",1
AurelionSol,3047,"Plated Steelcaps",1
AurelionSol,3070,"Tear of the Goddess",1
AurelionSol,3089,"Rabadon's Deathcap",1
AurelionSol,3145,"Hextech Alternator",1
AurelionSol,3191,"Seeker's Armguard",1
AurelionSol,4630,"Blighting Jewel",1
AurelionSol,4635,"Leeching Leer",1
AurelionSol,6653,"Liandry's Anguish",1
AurelionSol,6655,"Luden's Tempest",1
Azir,3020,"Sorcerer's Shoes",50
Azir,6653,"Liandry's Anguish",48
Azir,3340,"Stealth Ward",39
Azir,3363,"Farsight Alteration",38
Azir,3040,"Seraph's Embrace",35
Azir,1082,"Dark Seal",32
Azir,1056,"Doran's Ring",31
Azir,1058,"Needlessly Large Rod",28
Azir,3157,"Zhonya's Hourglass",27
Azir,3115,"Nashor's Tooth",20
Azir,6655,"Luden's Tempest",17
Azir,3070,"Tear of the Goddess",16
Azir,3111,"Mercury's Treads",12
Azir,3916,"Oblivion Orb",12
Azir,1052,"Amplifying Tome",11
Azir,3089,"Rabadon's Deathcap",11
Azir,3102,"Banshee's Veil",10
Azir,1026,"Blasting Wand",8
Azir,1001,Boots,7
Azir,2033,"Corrupting Potion",7
Azir,6656,Everfrost,6
Azir,3108,"Fiendish Codex",5
Azir,3191,"Seeker's Armguard",5
Azir,2421,"Broken Stopwatch",5
Azir,3165,Morellonomicon,4
Azir,2420,Stopwatch,4
Azir,2031,"Refillable Potion",4
Azir,3802,"Lost Chapter",4
Azir,2055,"Control Ward",3
Azir,1043,"Recurve Bow",3
Azir,3041,"Mejai's Soulstealer",3
Azir,3853,"Shard of True Ice",2
Azir,3116,"Rylai's Crystal Scepter",2
Azir,4005,"Imperial Mandate",2
Azir,4630,"Blighting Jewel",2
Azir,3135,"Void Staff",2
Azir,3364,"Oracle Lens",2
Azir,3047,"Plated Steelcaps",2
Azir,1011,"Giant's Belt",1
Azir,4633,Riftmaker,1
Azir,1028,"Ruby Crystal",1
Azir,3158,"Ionian Boots of Lucidity",1
Azir,4629,"Cosmic Drive",1
Azir,8001,"Anathema's Chains",1
Bard,3364,"Oracle Lens",241
Bard,3853,"Shard of True Ice",177
Bard,3158,"Ionian Boots of Lucidity",148
Bard,3190,"Locket of the Iron Solari",144
Bard,2055,"Control Ward",116
Bard,2065,"Shurelya's Battlesong",64
Bard,3067,Kindlegem,55
Bard,3860,"Bulwark of the Mountain",40
Bard,1029,"Cloth Armor",38
Bard,3117,"Mobility Boots",36
Bard,3110,"Frozen Heart",32
Bard,3009,"Boots of Swiftness",32
Bard,1028,"Ruby Crystal",26
Bard,4643,"Vigilant Wardstone",21
Bard,3082,"Warden's Mail",20
Bard,3916,"Oblivion Orb",20
Bard,2031,"Refillable Potion",19
Bard,3108,"Fiendish Codex",19
Bard,1082,"Dark Seal",19
Bard,3066,"Winged Moonplate",18
Bard,3011,"Chemtech Putrifier",17
Bard,3024,"Glacial Buckler",17
Bard,1033,"Null-Magic Mantle",14
Bard,3107,Redemption,14
Bard,1052,"Amplifying Tome",13
Bard,4629,"Cosmic Drive",13
Bard,3047,"Plated Steelcaps",12
Bard,3851,Frostfang,12
Bard,3114,"Forbidden Idol",11
Bard,8001,"Anathema's Chains",9
Bard,1031,"Chain Vest",9
Bard,3859,"Targon's Buckler",9
Bard,1057,"Negatron Cloak",8
Bard,3111,"Mercury's Treads",8
Bard,3742,"Dead Man's Plate",6
Bard,4005,"Imperial Mandate",6
Bard,3222,"Mikael's Blessing",5
Bard,1004,"Faerie Charm",4
Bard,2421,"Broken Stopwatch",4
Bard,2420,Stopwatch,4
Bard,3041,"Mejai's Soulstealer",3
Bard,3191,"Seeker's Armguard",3
Bard,3157,"Zhonya's Hourglass",3
Bard,4642,"Bandleglass Mirror",3
Bard,2003,"Health Potion",3
Bard,3102,"Banshee's Veil",3
Bard,3076,"Bramble Vest",2
Bard,3850,"Spellthief's Edge",2
Bard,2015,"Kircheis Shard",2
Bard,1001,Boots,2
Bard,3340,"Stealth Ward",1
Bard,3109,"Knight's Vow",1
Bard,3105,"Aegis of the Legion",1
Bard,3801,"Crystalline Bracer",1
Bard,3075,Thornmail,1
Bard,3070,"Tear of the Goddess",1
Bard,2419,"Commencing Stopwatch",1
Bard,3123,"Executioner's Calling",1
Bard,3143,"Randuin's Omen",1
Bard,3145,"Hextech Alternator",1
Bard,1027,"Sapphire Crystal",1
Bard,3050,"Zeke's Convergence",1
Bard,4632,"Verdant Barrier",1
Bard,4638,"Watchful Wardstone",1
Bard,1042,Dagger,1
Bard,1026,"Blasting Wand",1
Bard,6617,"Moonstone Renewer",1
Bard,1011,"Giant's Belt",1
Blitzcrank,3364,"Oracle Lens",103
Blitzcrank,3117,"Mobility Boots",77
Blitzcrank,2055,"Control Ward",55
Blitzcrank,3860,"Bulwark of the Mountain",53
Blitzcrank,3190,"Locket of the Iron Solari",47
Blitzcrank,3067,Kindlegem,37
Blitzcrank,2065,"Shurelya's Battlesong",35
Blitzcrank,3859,"Targon's Buckler",26
Blitzcrank,1029,"Cloth Armor",18
Blitzcrank,3009,"Boots of Swiftness",15
Blitzcrank,3024,"Glacial Buckler",14
Blitzcrank,3050,"Zeke's Convergence",13
Blitzcrank,3857,"Pauldrons of Whiterock",13
Blitzcrank,3076,"Bramble Vest",12
Blitzcrank,3801,"Crystalline Bracer",11
Blitzcrank,2031,"Refillable Potion",10
Blitzcrank,3110,"Frozen Heart",8
Blitzcrank,3855,"Runesteel Spaulders",8
Blitzcrank,1033,"Null-Magic Mantle",7
Blitzcrank,1028,"Ruby Crystal",7
Blitzcrank,3158,"Ionian Boots of Lucidity",6
Blitzcrank,3001,"Abyssal Mask",5
Blitzcrank,3109,"Knight's Vow",5
Blitzcrank,1011,"Giant's Belt",4
Blitzcrank,1027,"Sapphire Crystal",4
Blitzcrank,4643,"Vigilant Wardstone",4
Blitzcrank,4642,"Bandleglass Mirror",4
Blitzcrank,3111,"Mercury's Treads",4
Blitzcrank,3858,"Relic Shield",4
Blitzcrank,8001,"Anathema's Chains",3
Blitzcrank,6664,"Turbo Chemtank",3
Blitzcrank,3066,"Winged Moonplate",3
Blitzcrank,3742,"Dead Man's Plate",3
Blitzcrank,3047,"Plated Steelcaps",2
Blitzcrank,1052,"Amplifying Tome",2
Blitzcrank,2421,"Broken Stopwatch",2
Blitzcrank,3075,Thornmail,2
Blitzcrank,3082,"Warden's Mail",2
Blitzcrank,2003,"Health Potion",2
Blitzcrank,1004,"Faerie Charm",1
Blitzcrank,3070,"Tear of the Goddess",1
Blitzcrank,3105,"Aegis of the Legion",1
Blitzcrank,1057,"Negatron Cloak",1
Blitzcrank,3140,"Quicksilver Sash",1
Blitzcrank,1082,"Dark Seal",1
Blitzcrank,4629,"Cosmic Drive",1
Blitzcrank,3854,"Steel Shoulderguards",1
Blitzcrank,3802,"Lost Chapter",1
Blitzcrank,6656,Everfrost,1
Blitzcrank,3363,"Farsight Alteration",1
Blitzcrank,3340,"Stealth Ward",1
Brand,6653,"Liandry's Anguish",27
Brand,3020,"Sorcerer's Shoes",25
Brand,3853,"Shard of True Ice",22
Brand,3364,"Oracle Lens",21
Brand,2055,"Control Ward",16
Brand,1082,"Dark Seal",11
Brand,3340,"Stealth Ward",10
Brand,3916,"Oblivion Orb",9
Brand,3157,"Zhonya's Hourglass",7
Brand,1001,Boots,6
Brand,1052,"Amplifying Tome",6
Brand,1056,"Doran's Ring",6
Brand,4637,"Demonic Embrace",5
Brand,2033,"Corrupting Potion",4
Brand,3108,"Fiendish Codex",4
Brand,3116,"Rylai's Crystal Scepter",4
Brand,3165,Morellonomicon,4
Brand,3802,"Lost Chapter",4
Brand,4630,"Blighting Jewel",4
Brand,3363,"Farsight Alteration",4
Brand,2031,"Refillable Potion",3
Brand,3158,"Ionian Boots of Lucidity",3
Brand,2424,"Broken Stopwatch",3
Brand,1011,"Giant's Belt",3
Brand,1026,"Blasting Wand",2
Brand,2421,"Broken Stopwatch",2
Brand,6655,"Luden's Tempest",2
Brand,2420,Stopwatch,1
Brand,1028,"Ruby Crystal",1
Brand,3135,"Void Staff",1
Brand,3070,"Tear of the Goddess",1
Braum,3364,"Oracle Lens",131
Braum,3190,"Locket of the Iron Solari",108
Braum,3857,"Pauldrons of Whiterock",101
Braum,3047,"Plated Steelcaps",88
Braum,2055,"Control Ward",79
Braum,3067,Kindlegem,50
Braum,3111,"Mercury's Treads",30
Braum,1029,"Cloth Armor",27
Braum,1028,"Ruby Crystal",25
Braum,3076,"Bramble Vest",25
Braum,3855,"Runesteel Spaulders",17
Braum,1011,"Giant's Belt",14
Braum,3109,"Knight's Vow",11
Braum,3860,"Bulwark of the Mountain",11
Braum,2031,"Refillable Potion",11
Braum,3801,"Crystalline Bracer",11
Braum,8001,"Anathema's Chains",10
Braum,3050,"Zeke's Convergence",9
Braum,3075,Thornmail,9
Braum,3024,"Glacial Buckler",8
Braum,3001,"Abyssal Mask",6
Braum,2003,"Health Potion",6
Braum,3009,"Boots of Swiftness",6
Braum,1057,"Negatron Cloak",4
Braum,2424,"Broken Stopwatch",4
Braum,3117,"Mobility Boots",4
Braum,1033,"Null-Magic Mantle",3
Braum,3105,"Aegis of the Legion",3
Braum,3859,"Targon's Buckler",3
Braum,3340,"Stealth Ward",3
Braum,2010,"Total Biscuit of Everlasting Will",2
Braum,2403,"Minion Dematerializer",2
Braum,2423,"Perfectly Timed Stopwatch",2
Braum,3082,"Warden's Mail",2
Braum,3854,"Steel Shoulderguards",2
Braum,4643,"Vigilant Wardstone",2
Braum,1001,Boots,1
Braum,1006,"Rejuvenation Bead",1
Braum,1027,"Sapphire Crystal",1
Braum,2421,"Broken Stopwatch",1
Braum,3110,"Frozen Heart",1
Braum,4638,"Watchful Wardstone",1
Braum,6660,"Bami's Cinder",1
Braum,6662,"Frostfire Gauntlet",1
