championName,itemId,itemName,winCount,totalCount,winRatio
Alistar,1036,"Long Sword",3,3,1.0000
Alistar,3165,Morellonomicon,1,1,1.0000
Alistar,4638,"Watchful Wardstone",3,3,1.0000
Alistar,3114,"Forbidden Idol",1,1,1.0000
Alistar,3107,Redemption,5,6,0.8333
Alistar,3109,"Knight's Vow",31,40,0.7750
Alistar,3222,"Mikael's Blessing",3,4,0.7500
Alistar,4643,"Vigilant Wardstone",9,12,0.7500
Alistar,3001,"Abyssal Mask",16,22,0.7273
Alistar,4401,"Force of Nature",2,3,0.6667
Alistar,3110,"Frozen Heart",6,9,0.6667
Alistar,2420,Stopwatch,16,25,0.6400
Alistar,8001,"Anathema's Chains",20,32,0.6250
Alistar,3157,"Zhonya's Hourglass",36,58,0.6207
Alistar,3050,"Zeke's Convergence",29,47,0.6170
Alistar,3158,"Ionian Boots of Lucidity",87,144,0.6042
Alistar,3075,Thornmail,24,40,0.6000
Alistar,6664,"Turbo Chemtank",44,74,0.5946
Alistar,3855,"Runesteel Spaulders",4,7,0.5714
Alistar,3857,"Pauldrons of Whiterock",7,13,0.5385
Alistar,2065,"Shurelya's Battlesong",96,182,0.5275
Alistar,3108,"Fiendish Codex",12,23,0.5217
Alistar,3066,"Winged Moonplate",14,27,0.5185
Alistar,1027,"Sapphire Crystal",1,2,0.5000
Alistar,3143,"Randuin's Omen",2,4,0.5000
Alistar,1057,"Negatron Cloak",15,30,0.5000
Alistar,1001,Boots,2,4,0.5000
Alistar,3860,"Bulwark of the Mountain",282,564,0.5000
Alistar,3801,"Crystalline Bracer",7,14,0.5000
Alistar,2421,"Broken Stopwatch",25,50,0.5000
Alistar,3916,"Oblivion Orb",1,2,0.5000
Alistar,3190,"Locket of the Iron Solari",193,388,0.4974
Alistar,1011,"Giant's Belt",45,91,0.4945
Alistar,3076,"Bramble Vest",63,132,0.4773
Alistar,3742,"Dead Man's Plate",16,34,0.4706
Alistar,3009,"Boots of Swiftness",31,66,0.4697
Alistar,3117,"Mobility Boots",233,504,0.4623
Alistar,3024,"Glacial Buckler",17,37,0.4595
Alistar,1031,"Chain Vest",4,9,0.4444
Alistar,3191,"Seeker's Armguard",7,16,0.4375
Alistar,3859,"Targon's Buckler",87,200,0.4350
Alistar,3067,Kindlegem,97,223,0.4350
Alistar,3111,"Mercury's Treads",9,21,0.4286
Alistar,3105,"Aegis of the Legion",4,10,0.4000
Alistar,3082,"Warden's Mail",4,10,0.4000
Alistar,1028,"Ruby Crystal",45,113,0.3982
Alistar,4642,"Bandleglass Mirror",7,18,0.3889
Alistar,6660,"Bami's Cinder",5,13,0.3846
Alistar,3047,"Plated Steelcaps",22,65,0.3385
Alistar,1033,"Null-Magic Mantle",18,54,0.3333
Alistar,1029,"Cloth Armor",43,134,0.3209
Alistar,3858,"Relic Shield",7,22,0.3182
Alistar,1052,"Amplifying Tome",5,18,0.2778
Alistar,3068,"Sunfire Aegis",1,4,0.2500
Amumu,7011,"Upgraded Aeropack",1,1,1.0000
Amumu,4005,"Imperial Mandate",5,5,1.0000
Amumu,1036,"Long Sword",1,1,1.0000
Amumu,3860,"Bulwark of the Mountain",3,3,1.0000
Amumu,3116,"Rylai's Crystal Scepter",1,1,1.0000
Amumu,3001,"Abyssal Mask",6,7,0.8571
Amumu,3916,"Oblivion Orb",4,5,0.8000
Amumu,8001,"Anathema's Chains",2,3,0.6667
Amumu,3157,"Zhonya's Hourglass",3,5,0.6000
Amumu,4637,"Demonic Embrace",3,5,0.6000
Amumu,3041,"Mejai's Soulstealer",1,2,0.5000
Amumu,3158,"Ionian Boots of Lucidity",2,4,0.5000
Amumu,1001,Boots,1,2,0.5000
Amumu,3089,"Rabadon's Deathcap",3,6,0.5000
Amumu,4628,"Horizon Focus",6,15,0.4000
Amumu,3135,"Void Staff",2,5,0.4000
Amumu,3859,"Targon's Buckler",2,5,0.4000
Amumu,6656,Everfrost,3,8,0.3750
Amumu,1011,"Giant's Belt",2,6,0.3333
Amumu,2421,"Broken Stopwatch",1,3,0.3333
Amumu,3020,"Sorcerer's Shoes",10,33,0.3030
Amumu,3068,"Sunfire Aegis",3,10,0.3000
Amumu,1026,"Blasting Wand",2,7,0.2857
Amumu,3152,"Hextech Rocketbelt",6,22,0.2727
Amumu,3047,"Plated Steelcaps",5,20,0.2500
Amumu,1057,"Negatron Cloak",1,4,0.2500
Amumu,1058,"Needlessly Large Rod",2,9,0.2222
Amumu,1082,"Dark Seal",4,19,0.2105
Amumu,3076,"Bramble Vest",1,5,0.2000
Amumu,4630,"Blighting Jewel",1,5,0.2000
Anivia,3001,"Abyssal Mask",3,3,1.0000
Anivia,3742,"Dead Man's Plate",3,3,1.0000
Anivia,3024,"Glacial Buckler",1,1,1.0000
Anivia,3082,"Warden's Mail",1,1,1.0000
Anivia,3140,"Quicksilver Sash",1,1,1.0000
Anivia,3041,"Mejai's Soulstealer",16,19,0.8421
Anivia,2065,"Shurelya's Battlesong",5,7,0.7143
Anivia,2421,"Broken Stopwatch",29,43,0.6744
Anivia,3067,Kindlegem,8,12,0.6667
Anivia,7012,"Liandry's Lament",2,3,0.6667
Anivia,4633,Riftmaker,2,3,0.6667
Anivia,3108,"Fiendish Codex",21,32,0.6563
Anivia,1011,"Giant's Belt",18,28,0.6429
Anivia,3165,Morellonomicon,14,22,0.6364
Anivia,2420,Stopwatch,15,24,0.6250
Anivia,3802,"Lost Chapter",5,8,0.6250
Anivia,1029,"Cloth Armor",5,8,0.6250
Anivia,1082,"Dark Seal",45,73,0.6164
Anivia,4637,"Demonic Embrace",24,39,0.6154
Anivia,3111,"Mercury's Treads",18,30,0.6000
Anivia,3066,"Winged Moonplate",3,5,0.6000
Anivia,6655,"Luden's Tempest",29,51,0.5686
Anivia,3853,"Shard of True Ice",18,32,0.5625
Anivia,3135,"Void Staff",19,34,0.5588
Anivia,1052,"Amplifying Tome",34,61,0.5574
Anivia,1058,"Needlessly Large Rod",31,56,0.5536
Anivia,3916,"Oblivion Orb",46,84,0.5476
Anivia,3157,"Zhonya's Hourglass",92,169,0.5444
Anivia,3020,"Sorcerer's Shoes",155,286,0.5420
Anivia,3040,"Seraph's Embrace",46,85,0.5412
Anivia,1028,"Ruby Crystal",7,13,0.5385
Anivia,6656,Everfrost,60,112,0.5357
Anivia,4628,"Horizon Focus",8,15,0.5333
Anivia,6653,"Liandry's Anguish",97,183,0.5301
Anivia,3089,"Rabadon's Deathcap",13,25,0.5200
Anivia,3158,"Ionian Boots of Lucidity",14,27,0.5185
Anivia,3117,"Mobility Boots",6,12,0.5000
Anivia,3851,Frostfang,2,4,0.5000
Anivia,3102,"Banshee's Veil",7,14,0.5000
Anivia,4632,"Verdant Barrier",4,8,0.5000
Anivia,1057,"Negatron Cloak",1,2,0.5000
Anivia,3191,"Seeker's Armguard",12,24,0.5000
Anivia,3070,"Tear of the Goddess",54,117,0.4615
Anivia,4629,"Cosmic Drive",3,7,0.4286
Anivia,3009,"Boots of Swiftness",3,7,0.4286
Anivia,1001,Boots,6,15,0.4000
Anivia,3047,"Plated Steelcaps",2,5,0.4000
Anivia,4630,"Blighting Jewel",10,25,0.4000
Anivia,3190,"Locket of the Iron Solari",3,8,0.3750
Anivia,1027,"Sapphire Crystal",5,15,0.3333
Anivia,1031,"Chain Vest",1,3,0.3333
Anivia,1026,"Blasting Wand",7,22,0.3182
Anivia,4005,"Imperial Mandate",1,5,0.2000
Annie,3111,"Mercury's Treads",1,1,1.0000
Annie,4636,"Night Harvester",6,7,0.8571
Annie,3116,"Rylai's Crystal Scepter",5,6,0.8333
Annie,1011,"Giant's Belt",3,4,0.7500
Annie,6656,Everfrost,3,4,0.7500
Annie,3040,"Seraph's Embrace",15,21,0.7143
Annie,3135,"Void Staff",47,66,0.7121
Annie,3041,"Mejai's Soulstealer",52,74,0.7027
Annie,3102,"Banshee's Veil",13,19,0.6842
Annie,3165,Morellonomicon,25,37,0.6757
Annie,1029,"Cloth Armor",2,3,0.6667
Annie,6653,"Liandry's Anguish",31,50,0.6200
Annie,4628,"Horizon Focus",8,13,0.6154
Annie,2420,Stopwatch,9,15,0.6000
Annie,3853,"Shard of True Ice",9,15,0.6000
Annie,4632,"Verdant Barrier",3,5,0.6000
Annie,4629,"Cosmic Drive",13,22,0.5909
Annie,3158,"Ionian Boots of Lucidity",11,19,0.5789
Annie,6655,"Luden's Tempest",37,65,0.5692
Annie,1052,"Amplifying Tome",25,44,0.5682
Annie,3157,"Zhonya's Hourglass",41,74,0.5541
Annie,3020,"Sorcerer's Shoes",143,261,0.5479
Annie,3089,"Rabadon's Deathcap",12,22,0.5455
Annie,3152,"Hextech Rocketbelt",78,145,0.5379
Annie,3191,"Seeker's Armguard",9,17,0.5294
Annie,1058,"Needlessly Large Rod",23,46,0.5000
Annie,1001,Boots,1,2,0.5000
Annie,7011,"Upgraded Aeropack",1,2,0.5000
Annie,1082,"Dark Seal",76,157,0.4841
Annie,2421,"Broken Stopwatch",7,15,0.4667
Annie,3916,"Oblivion Orb",13,28,0.4643
Annie,4630,"Blighting Jewel",11,24,0.4583
Annie,3067,Kindlegem,3,7,0.4286
Annie,1026,"Blasting Wand",14,34,0.4118
Annie,3070,"Tear of the Goddess",8,21,0.3810
Annie,3145,"Hextech Alternator",6,18,0.3333
Annie,4637,"Demonic Embrace",1,3,0.3333
Annie,3108,"Fiendish Codex",7,26,0.2692
Annie,1028,"Ruby Crystal",4,15,0.2667
Annie,3802,"Lost Chapter",1,5,0.2000
Aphelios,3071,"Black Cleaver",1,1,1.0000
Aphelios,3095,Stormrazor,2,2,1.0000
Aphelios,7008,Bloodward,2,2,1.0000
Aphelios,3057,Sheen,1,1,1.0000
Aphelios,3070,"Tear of the Goddess",1,1,1.0000
Aphelios,1028,"Ruby Crystal",1,1,1.0000
Aphelios,3143,"Randuin's Omen",1,1,1.0000
Aphelios,3211,"Spectre's Cowl",1,1,1.0000
Aphelios,2424,"Broken Stopwatch",1,1,1.0000
Aphelios,6694,"Serylda's Grudge",1,1,1.0000
Aphelios,3094,"Rapid Firecannon",19,24,0.7917
Aphelios,3139,"Mercurial Scimitar",7,9,0.7778
Aphelios,3156,"Maw of Malmortius",4,6,0.6667
Aphelios,3111,"Mercury's Treads",2,3,0.6667
Aphelios,1031,"Chain Vest",2,3,0.6667
Aphelios,3134,"Serrated Dirk",20,31,0.6452
Aphelios,2421,"Broken Stopwatch",34,53,0.6415
Aphelios,3072,Bloodthirster,44,69,0.6377
Aphelios,3026,"Guardian Angel",53,86,0.6163
Aphelios,6676,"The Collector",100,164,0.6098
Aphelios,3031,"Infinity Edge",227,376,0.6037
Aphelios,1033,"Null-Magic Mantle",6,10,0.6000
Aphelios,1038,"B. F. Sword",151,255,0.5922
Aphelios,2420,Stopwatch,25,43,0.5814
Aphelios,3091,"Wit's End",4,7,0.5714
Aphelios,3046,"Phantom Dancer",104,185,0.5622
Aphelios,3085,"Runaan's Hurricane",357,668,0.5344
Aphelios,6671,Galeforce,187,350,0.5343
Aphelios,3123,"Executioner's Calling",32,60,0.5333
Aphelios,3140,"Quicksilver Sash",9,17,0.5294
Aphelios,6673,"Immortal Shieldbow",172,326,0.5276
Aphelios,3036,"Lord Dominik's Regards",106,201,0.5274
Aphelios,6672,"Kraken Slayer",300,572,0.5245
Aphelios,3006,"Berserker's Greaves",660,1268,0.5205
Aphelios,1057,"Negatron Cloak",3,6,0.5000
Aphelios,2015,"Kircheis Shard",2,4,0.5000
Aphelios,6692,Eclipse,2,4,0.5000
Aphelios,1029,"Cloth Armor",5,10,0.5000
Aphelios,6695,"Serpent's Fang",2,4,0.5000
Aphelios,3067,Kindlegem,1,2,0.5000
Aphelios,3814,"Edge of Night",1,2,0.5000
Aphelios,6677,Rageknife,1,2,0.5000
Aphelios,7006,Typhoon,1,2,0.5000
Aphelios,8001,"Anathema's Chains",1,2,0.5000
Aphelios,1018,"Cloak of Agility",141,287,0.4913
Aphelios,3086,Zeal,61,125,0.4880
Aphelios,1053,"Vampiric Scepter",26,54,0.4815
Aphelios,1037,Pickaxe,94,204,0.4608
Aphelios,3508,"Essence Reaver",2,5,0.4000
Aphelios,3047,"Plated Steelcaps",7,18,0.3889
Aphelios,3035,"Last Whisper",28,74,0.3784
Aphelios,3155,Hexdrinker,4,11,0.3636
Aphelios,3033,"Mortal Reminder",8,22,0.3636
Aphelios,1042,Dagger,60,166,0.3614
Aphelios,3051,"Hearthbound Axe",1,3,0.3333
Aphelios,7007,"Wyrmfallen Sacrifice",1,3,0.3333
Aphelios,1036,"Long Sword",43,131,0.3282
Aphelios,1001,Boots,6,32,0.1875
Aphelios,6670,Noonquiver,11,60,0.1833
Ashe,4629,"Cosmic Drive",1,1,1.0000
Ashe,6693,"Prowler's Claw",1,1,1.0000
Ashe,6677,Rageknife,2,2,1.0000
Ashe,6695,"Serpent's Fang",2,2,1.0000
Ashe,3047,"Plated Steelcaps",2,2,1.0000
Ashe,3071,"Black Cleaver",2,2,1.0000
Ashe,3117,"Mobility Boots",1,1,1.0000
Ashe,3157,"Zhonya's Hourglass",1,1,1.0000
Ashe,1031,"Chain Vest",2,2,1.0000
Ashe,2421,"Broken Stopwatch",12,17,0.7059
Ashe,2420,Stopwatch,7,10,0.7000
Ashe,3155,Hexdrinker,2,3,0.6667
Ashe,3067,Kindlegem,2,3,0.6667
Ashe,3031,"Infinity Edge",36,57,0.6316
Ashe,3051,"Hearthbound Axe",3,5,0.6000
Ashe,3072,Bloodthirster,3,5,0.6000
Ashe,3036,"Lord Dominik's Regards",19,32,0.5938
Ashe,3091,"Wit's End",11,19,0.5789
Ashe,3124,"Guinsoo's Rageblade",5,9,0.5556
Ashe,3046,"Phantom Dancer",95,174,0.5460
Ashe,3042,Muramana,7,13,0.5385
Ashe,3085,"Runaan's Hurricane",20,38,0.5263
Ashe,6672,"Kraken Slayer",93,177,0.5254
Ashe,1038,"B. F. Sword",23,44,0.5227
Ashe,3140,"Quicksilver Sash",2,4,0.5000
Ashe,1036,"Long Sword",29,58,0.5000
Ashe,4005,"Imperial Mandate",9,18,0.5000
Ashe,1033,"Null-Magic Mantle",1,2,0.5000
Ashe,3004,Manamune,1,2,0.5000
Ashe,1042,Dagger,15,30,0.5000
Ashe,6691,"Duskblade of Draktharr",1,2,0.5000
Ashe,7007,"Wyrmfallen Sacrifice",1,2,0.5000
Ashe,6673,"Immortal Shieldbow",38,80,0.4750
Ashe,3153,"Blade of The Ruined King",9,19,0.4737
Ashe,3006,"Berserker's Greaves",147,314,0.4682
Ashe,3086,Zeal,13,28,0.4643
Ashe,3864,"Black Mist Scythe",6,13,0.4615
Ashe,3026,"Guardian Angel",5,11,0.4545
Ashe,3158,"Ionian Boots of Lucidity",12,27,0.4444
Ashe,3033,"Mortal Reminder",8,18,0.4444
Ashe,1043,"Recurve Bow",4,9,0.4444
Ashe,3133,"Caulfield's Warhammer",4,10,0.4000
Ashe,6671,Galeforce,19,48,0.3958
Ashe,1037,Pickaxe,19,50,0.3800
Ashe,3123,"Executioner's Calling",13,35,0.3714
Ashe,3035,"Last Whisper",7,20,0.3500
Ashe,3508,"Essence Reaver",3,9,0.3333
Ashe,3134,"Serrated Dirk",1,3,0.3333
Ashe,3070,"Tear of the Goddess",4,12,0.3333
Ashe,1018,"Cloak of Agility",16,49,0.3265
Ashe,1001,Boots,2,7,0.2857
Ashe,1053,"Vampiric Scepter",4,21,0.1905
Ashe,6670,Noonquiver,1,19,0.0526
AurelionSol,3191,"Seeker's Armguard",4,4,1.0000
AurelionSol,7010,Vespertide,1,1,1.0000
AurelionSol,1027,"Sapphire Crystal",1,1,1.0000
AurelionSol,4635,"Leeching Leer",1,1,1.0000
AurelionSol,3065,"Spirit Visage",1,1,1.0000
AurelionSol,3108,"Fiendish Codex",7,8,0.8750
AurelionSol,3001,"Abyssal Mask",12,14,0.8571
AurelionSol,3041,"Mejai's Soulstealer",13,16,0.8125
AurelionSol,2421,"Broken Stopwatch",13,16,0.8125
AurelionSol,6655,"Luden's Tempest",4,5,0.8000
AurelionSol,3040,"Seraph's Embrace",4,5,0.8000
AurelionSol,1058,"Needlessly Large Rod",15,19,0.7895
AurelionSol,3135,"Void Staff",17,23,0.7391
AurelionSol,3152,"Hextech Rocketbelt",2,3,0.6667
AurelionSol,3111,"Mercury's Treads",18,30,0.6000
AurelionSol,4628,"Horizon Focus",3,5,0.6000
AurelionSol,3116,"Rylai's Crystal Scepter",58,102,0.5686
AurelionSol,3047,"Plated Steelcaps",17,30,0.5667
AurelionSol,6656,Everfrost,31,56,0.5536
AurelionSol,4636,"Night Harvester",16,29,0.5517
AurelionSol,1082,"Dark Seal",48,88,0.5455
AurelionSol,3157,"Zhonya's Hourglass",32,59,0.5424
AurelionSol,3020,"Sorcerer's Shoes",50,96,0.5208
AurelionSol,3165,Morellonomicon,6,12,0.5000
AurelionSol,3802,"Lost Chapter",4,8,0.5000
AurelionSol,3089,"Rabadon's Deathcap",3,6,0.5000
AurelionSol,6653,"Liandry's Anguish",13,26,0.5000
AurelionSol,3102,"Banshee's Veil",1,2,0.5000
AurelionSol,3916,"Oblivion Orb",8,17,0.4706
AurelionSol,2420,Stopwatch,3,7,0.4286
AurelionSol,3009,"Boots of Swiftness",2,5,0.4000
AurelionSol,1052,"Amplifying Tome",9,26,0.3462
AurelionSol,3067,Kindlegem,1,3,0.3333
AurelionSol,3070,"Tear of the Goddess",1,3,0.3333
AurelionSol,3145,"Hextech Alternator",2,7,0.2857
AurelionSol,1026,"Blasting Wand",6,23,0.2609
AurelionSol,1011,"Giant's Belt",3,12,0.2500
AurelionSol,4630,"Blighting Jewel",2,8,0.2500
AurelionSol,1001,Boots,1,4,0.2500
AurelionSol,4637,"Demonic Embrace",1,5,0.2000
AurelionSol,1028,"Ruby Crystal",1,6,0.1667
Azir,4633,Riftmaker,1,1,1.0000
Azir,1033,"Null-Magic Mantle",1,1,1.0000
Azir,3006,"Berserker's Greaves",2,2,1.0000
Azir,3116,"Rylai's Crystal Scepter",3,3,1.0000
Azir,3003,"Archangel's Staff",1,1,1.0000
Azir,3853,"Shard of True Ice",3,3,1.0000
Azir,4005,"Imperial Mandate",3,3,1.0000
Azir,1011,"Giant's Belt",1,1,1.0000
Azir,3041,"Mejai's Soulstealer",14,16,0.8750
Azir,3102,"Banshee's Veil",22,33,0.6667
Azir,3111,"Mercury's Treads",14,21,0.6667
Azir,3047,"Plated Steelcaps",2,3,0.6667
Azir,4630,"Blighting Jewel",5,8,0.6250
Azir,3089,"Rabadon's Deathcap",31,50,0.6200
Azir,3115,"Nashor's Tooth",39,64,0.6094
Azir,3165,Morellonomicon,10,17,0.5882
Azir,1058,"Needlessly Large Rod",42,72,0.5833
Azir,3040,"Seraph's Embrace",54,93,0.5806
Azir,3916,"Oblivion Orb",27,50,0.5400
Azir,6653,"Liandry's Anguish",88,163,0.5399
Azir,6655,"Luden's Tempest",53,99,0.5354
Azir,1026,"Blasting Wand",17,32,0.5313
Azir,3135,"Void Staff",29,55,0.5273
Azir,3157,"Zhonya's Hourglass",52,99,0.5253
Azir,4629,"Cosmic Drive",11,21,0.5238
Azir,3020,"Sorcerer's Shoes",117,224,0.5223
Azir,4637,"Demonic Embrace",1,2,0.5000
Azir,1028,"Ruby Crystal",1,2,0.5000
Azir,7012,"Liandry's Lament",1,2,0.5000
Azir,2421,"Broken Stopwatch",11,22,0.5000
Azir,4632,"Verdant Barrier",2,4,0.5000
Azir,1082,"Dark Seal",58,118,0.4915
